Title,Cuisine,Category,Ingridients,Instructions,Image,Link,Ratings,Unnamed: 0,graph_ingredient
Bacon Cheese Omelette Recipe,American,breakfast,"['5 egg', '2 tablespoon butter', '4 slices boiled bacon', '4 slices cheese slices']","To start with, chop the cooked bacon into pieces on a chopping board. Melt butter in a sauce pan over high flame and spread the butter evenly.
Beat eggs well in a bowl and spread it on the pan in a way that it covers the entire pan. Using a spatula lift the omelette and continue to move the pan until the entire egg is cooked well.
Lay the sliced cheese on one half side of the omelette and place the cooked pieces of bacon on top of the cheese. Carefully, flip the other side over the top of the cooked bacon and cheese side.
Your Bacon cheese Omelet is ready to serve with a variety of sauce.",https://static.toiimg.com/thumb/57805787.cms?width=1200&height=900,https://recipes.timesofindia.com/recipes/bacon-cheese-omelette/rs57805787.cms,4.0,4588.0,"egg, butter, bacon, cheese"
Spinach Crepes Recipe,Continental,breakfast,"['2 cup spinach', '1 cup buckwheat (kuttu)', '4 tablespoon melted butter', '4 egg', '1/2 cup milk', 'salt as required']","Take a blender jar and break the eggs in it. Next, add spinach leaves, buckwheat flour, milk, salt, butter and blend it to form a batter. Make sure it is smooth and no lumps remain in it.
Next, place a pan over over medium flame and pour about 1/2 cup of blended egg batter in it. Spread it to form a thin layer and let it cook over the medium flame. Once one side starts to rise, flip the crepe and cook the other side as well.
Once done, transfer it on a plate and serve it hot with maple syrup or with a syrup of your choice to enjoy!",https://static.toiimg.com/thumb/62335014.cms?width=1200&height=900,https://recipes.timesofindia.com/recipes/spinach-crepes/rs62335014.cms,,8500.0,"spinach, buckwheat, butter, egg, milk"
Poached Eggs With A Toast Recipe,American,snacks,"['4 egg', '1 teaspoon black pepper', '4 slices bread- white', '1 dash vinegar', 'salt as required', 'water as required', '1 tablespoon butter']","To prepare this delicious recipe, take a deep bottomed pan and keep it on medium flame. Pour fresh water in it and bring it to boil. Carefully stir in a dash of vinegar in the pan.
Take different small size containers and crack open the eggs separately in each one of them. Add the eggs to the water and gently using a wooden stick push the egg white towards the yolk. Be sure to leave enough space between the eggs to be cooked properly. Once done cover the pan with a lid and turn the flame off.
Allow the eggs to stay in the hot water until you see that the eggs whites have become rigid in texture. Meanwhile take bread slice and spread butter on them. Next toast them in a toaster until the eggs are being cooked.
Take a spoon and carefully transfer the eggs over the toasted bread. Sprinkle pepper and salt to add to the flavor. Serve hot!",https://static.toiimg.com/thumb/59661628.cms?width=1200&height=900,https://recipes.timesofindia.com/recipes/poached-eggs-with-a-toast/rs59661628.cms,,9720.0,"egg, black pepper, white bread, vinegar, , butter"
Poached Eggs With A Toast Recipe,American,breakfast,"['4 egg', '1 teaspoon black pepper', '4 slices bread- white', '1 dash vinegar', 'salt as required', 'water as required', '1 tablespoon butter']","To prepare this delicious recipe, take a deep bottomed pan and keep it on medium flame. Pour fresh water in it and bring it to boil. Carefully stir in a dash of vinegar in the pan.
Take different small size containers and crack open the eggs separately in each one of them. Add the eggs to the water and gently using a wooden stick push the egg white towards the yolk. Be sure to leave enough space between the eggs to be cooked properly. Once done cover the pan with a lid and turn the flame off.
Allow the eggs to stay in the hot water until you see that the eggs whites have become rigid in texture. Meanwhile take bread slice and spread butter on them. Next toast them in a toaster until the eggs are being cooked.
Take a spoon and carefully transfer the eggs over the toasted bread. Sprinkle pepper and salt to add to the flavor. Serve hot!",https://static.toiimg.com/thumb/59661628.cms?width=1200&height=900,https://recipes.timesofindia.com/recipes/poached-eggs-with-a-toast/rs59661628.cms,,10459.0,"egg, black pepper, white bread, vinegar, , butter"
Holland Tea Cake Recipe,Continental,desserts,"['1 cup flour', '1 teaspoon cinnamon', '100 gm butter', '1 egg', '1/2 cup sugar']","Melt butter and mix it completely with sugar. Add egg yolk and mix some more. Mix 1 cup flour and cinnamon to it, thoroughly by hand or in a mixer.
Now spread the batter over the whole cookie pan. Use palm to smooth the batter and brush on the leftover egg white. Top it with the toppings of your choice evenly across the batter.
Place the cookie pan in preheated oven for 20 minutes at 180°C until cookies are golden brown. Remove, and let it cool.
Before they get too cool, cut them into different shapes like square, triangle or rectangle. Your Holland Tea Cake is ready to serve.",https://static.toiimg.com/thumb/57445853.cms?width=1200&height=900,https://recipes.timesofindia.com/recipes/holland-tea-cakes/rs57445853.cms,5.0,9267.0,"flour, cinnamon, butter, egg, sugar"
Egg And Cheese Grilled Sandwich Recipe,American,breakfast,"['6 slices whole wheat bread', '6 medium cheese slices', 'salt as required', '6 egg', 'black pepper as required', '3 tablespoon butter']","To prepare this egg and cheese grilled sandwich recipe, lay the whole wheat bread slices on a clean surface (or a tray). Carefully spread butter on one side of the bread slices. Once done, keep them aside until needed again.
Next, put a non-stick pan on medium flame and melt butter in it. Once the butter has melted, crack open eggs in the pan. Cook the eggs until the egg whites are completely settled and the egg yolk becomes thick. Top it up with black pepper powder and salt to add more flavour. Then, remove the eggs from the pan and keep them aside.
Now, put another non-stick pan on medium flame and transfer the bread slices on it. Make sure to keep the side with butter on it, facing towards the pan. Add cheese slice on it followed by the scrambled eggs (see step-2 for reference).
Add the remaining bread slices to cover the sandwich. Make sure to keep the side with butter on it, facing upwards.
Pan-fry the sandwiches until they are golden-brown in colour and the cheese has melted. These grilled egg and cheese sandwiches can be eaten as it is or you can serve them hot with any dip of your choice!",https://static.toiimg.com/thumb/60256016.cms?width=1200&height=900,https://recipes.timesofindia.com/recipes/egg-and-cheese-grilled-sandwich/rs60256016.cms,4.4,6024.0,"whole wheat bread, cheese, egg, black pepper, butter"
Egg And Cheese Grilled Sandwich Recipe,American,snacks,"['6 slices whole wheat bread', '6 medium cheese slices', 'salt as required', '6 egg', 'black pepper as required', '3 tablespoon butter']","To prepare this egg and cheese grilled sandwich recipe, lay the whole wheat bread slices on a clean surface (or a tray). Carefully spread butter on one side of the bread slices. Once done, keep them aside until needed again.
Next, put a non-stick pan on medium flame and melt butter in it. Once the butter has melted, crack open eggs in the pan. Cook the eggs until the egg whites are completely settled and the egg yolk becomes thick. Top it up with black pepper powder and salt to add more flavour. Then, remove the eggs from the pan and keep them aside.
Now, put another non-stick pan on medium flame and transfer the bread slices on it. Make sure to keep the side with butter on it, facing towards the pan. Add cheese slice on it followed by the scrambled eggs (see step-2 for reference).
Add the remaining bread slices to cover the sandwich. Make sure to keep the side with butter on it, facing upwards.
Pan-fry the sandwiches until they are golden-brown in colour and the cheese has melted. These grilled egg and cheese sandwiches can be eaten as it is or you can serve them hot with any dip of your choice!",https://static.toiimg.com/thumb/60256016.cms?width=1200&height=900,https://recipes.timesofindia.com/recipes/egg-and-cheese-grilled-sandwich/rs60256016.cms,4.4,7855.0,"whole wheat bread, cheese, egg, black pepper, butter"
Easy French Toast Recipe,Continental,snacks,"['4 slice white bread', '2 egg', '2 teaspoon butter', '200 ml milk', '2 teaspoon sugar', '2 teaspoon sugar']","Add milk in a bowl along with sugar and crack open the eggs in it. Whisk well using an electric beater to make a creamy mixture!
Put a pan on medium flame and lightly grease with butter. Dip the bread slices in milk-egg mixture and place it on the pan. Repeat the procedure to toast more such bread slices and enjoy!",https://static.toiimg.com/thumb/61217076.cms?width=1200&height=900,https://recipes.timesofindia.com/recipes/easy-french-toast/rs61217076.cms,5.0,627.0,"white bread, egg, butter, milk, sugar, sugar"
Easy French Toast Recipe,Continental,breakfast,"['4 slice white bread', '2 egg', '2 teaspoon butter', '200 ml milk', '2 teaspoon sugar', '2 teaspoon sugar']","Add milk in a bowl along with sugar and crack open the eggs in it. Whisk well using an electric beater to make a creamy mixture!
Put a pan on medium flame and lightly grease with butter. Dip the bread slices in milk-egg mixture and place it on the pan. Repeat the procedure to toast more such bread slices and enjoy!",https://static.toiimg.com/thumb/61217076.cms?width=1200&height=900,https://recipes.timesofindia.com/recipes/easy-french-toast/rs61217076.cms,5.0,11121.0,"white bread, egg, butter, milk, sugar, sugar"
Creamy Orange Tart Recipe,Continental,desserts,"['1 1/2 cup all purpose flour', '4 egg', '250 gm butter', '130 gm icing sugar', '2 pinches salt', '1 1/4 cup sugar', '5 medium orange']","To make this delicious tart recipe, mix icing sugar, all purpose flour and salt in a bowl. Add 1/2 cup butter in the bowl and mix the ingredients until you obtain a texture similar to bread crumbs.
Now, to make the dough, add 4 tbsp water and start kneading the mixture. The dough should be soft and smooth. Cover the dough with a plastic film and refrigerate it for 30 minutes.
Next, wash the oranges and grate their zest in a bowl. Peel the outer skin and squeeze out their juice in a bowl.
Transfer the collected zest into the blender jar and add sugar. Blend it to a smooth mixture. Now add butter and mix the ingredients till you obtain a creamy mixture. Pour the orange juice in the blender along with salt and blend again.
Now crack the eggs in the blender jar and blend them with the mixture. Cook this mixture in a pan over low flame. Keep stirring it till it reaches a thick consistency. Take it off the flame after 4-5 minutes.
Turn off the flame once done. Take out the chilled dough from the refrigerator and dust the surface on which portions would be rolled out into a tart size disc.
Roll the portion into a tart size disc. Similarly prepare 5 more discs and place them over a baking tray. Bake these discs at 200 C in the oven for 20 minutes.
Demould the discs and keep them aside, allowing them to cool. Stir the orange mixture and pour it into the discs and refrigerate them for 1-2 hours. Serve chilled and relish their flavours!",https://static.toiimg.com/thumb/60114620.cms?width=1200&height=900,https://recipes.timesofindia.com/recipes/creamy-orange-tart/rs60114620.cms,,4158.0,"flour, egg, butter, sugar, sugar, orange"
Cloud Eggs Recipe,Continental,breakfast,"['2 egg', '2 tablespoon chives', '2 tablespoon parmesan cheese', '1/2 teaspoon black pepper', '1 pinch salt', '2 teaspoon butter']","To begin with, wash and clean the chives under running water. Then using a clean chopping board, chop them and keep them aside until needed again. Next, grate the parmesan cheese into thin pieces and keep them aside. Meanwhile, preheat the oven at 180 degree Celsius.
Now, in a baking tray lay parchment paper and grease it with butter. Keep it aside. Take a deep mixing bowl and crack open eggs in it. Separate the egg yolk from the egg whites and transfer it in another bowl.
Add salt in the egg whites and mix vigorously until you get a creamy mixture. In this mixture add chives followed by parmesan cheese. Mix well.
Pour the prepared mixture on the greased tray ( see step-1) and bake it for 5 minutes. Once done, scoop a cavity in the center and carefully add the egg yolk in it.
Bake again for 5 minutes or until the egg yolk is settled. Garnish with black pepper to lift up the flavors. Serve immediately!",https://static.toiimg.com/thumb/60360459.cms?width=1200&height=900,https://recipes.timesofindia.com/recipes/cloud-eggs/rs60360459.cms,5.0,3982.0,"egg, chive, parmesan cheese, black pepper, butter"
Cheese and Dill Pasties Recipe,Continental,appetizers,"['2 tablespoon butter', '2 egg', '150 gm puff pastry dough', '2 tablespoon dill seed', '100 gm ricotta cheese']","To start with this easy recipe, prepare the filling for which you will have to put ricotta cheese on a paper towel in a colander. Let it drain in the plate for some time.
Once the cheese is partly drained, take a bowl and add the dried cheese along with butter in it, and crack open the eggs. Whisk well and add the dill seeds in it, and whisk it once again. The filling is prepared.
For the pastry, roll out the puff pastry dough and cut it into squares with the help of a roller.
Now, to prepare these pasties, take 2-3 tablespoons of filling and place it in the middle of the squares. Keep water ready to close the edges of the squares.
Stretch the puff pastry ends and apply a little water on the edges. You can also use a brush to apply water on the edges. Afterwards, fold the pastry square diagonally to make a triangle shape, and seal the edges. Repeat the procedure to get more such pasties. When done, refrigerate them 40-50 minutes to set. Meanwhile, preheat the oven at 220 degree Celsius.
Take out the set pasties and apply the remaining egg mixture on them. Put these pasties in the preheated oven and bake for about 15 minutes. Make sure that the pasties are golden in colour and puffed. When the pasties are ready, you can serve them hot with a dip of your choice.",https://static.toiimg.com/thumb/60129976.cms?width=1200&height=900,https://recipes.timesofindia.com/recipes/cheese-and-dill-pasties/rs60129976.cms,,914.0,"butter, egg, puff pastry dough, dill seed, ricotta cheese"
Cheese and Dill Pasties Recipe,Continental,snacks,"['2 tablespoon butter', '2 egg', '150 gm puff pastry dough', '2 tablespoon dill seed', '100 gm ricotta cheese']","To start with this easy recipe, prepare the filling for which you will have to put ricotta cheese on a paper towel in a colander. Let it drain in the plate for some time.
Once the cheese is partly drained, take a bowl and add the dried cheese along with butter in it, and crack open the eggs. Whisk well and add the dill seeds in it, and whisk it once again. The filling is prepared.
For the pastry, roll out the puff pastry dough and cut it into squares with the help of a roller.
Now, to prepare these pasties, take 2-3 tablespoons of filling and place it in the middle of the squares. Keep water ready to close the edges of the squares.
Stretch the puff pastry ends and apply a little water on the edges. You can also use a brush to apply water on the edges. Afterwards, fold the pastry square diagonally to make a triangle shape, and seal the edges. Repeat the procedure to get more such pasties. When done, refrigerate them 40-50 minutes to set. Meanwhile, preheat the oven at 220 degree Celsius.
Take out the set pasties and apply the remaining egg mixture on them. Put these pasties in the preheated oven and bake for about 15 minutes. Make sure that the pasties are golden in colour and puffed. When the pasties are ready, you can serve them hot with a dip of your choice.",https://static.toiimg.com/thumb/60129976.cms?width=1200&height=900,https://recipes.timesofindia.com/recipes/cheese-and-dill-pasties/rs60129976.cms,,2301.0,"butter, egg, puff pastry dough, dill seed, ricotta cheese"
Cardamom Cookies Recipe,Continental,snacks,"['4 cup wheat flour', '4 cup sugar', '2 teaspoon salt', '8 egg', '4 teaspoon powdered green cardamom', '2 cup unsalted butter']","To start with, preheat the oven at 160 degrees C. Take a bowl and combine together sugar, cardamom powder and butter. Beat this mixture properly for 4-5 minutes.
Simultaneously add eggs one by one while beating the mixture. Once done, add salt and flour to the bowl. Prepare a soft dough using these ingredients.
Take a cookie sheet and spoon the dough equally on the sheet in the form of cookies. Dont place them too close.
Bake the cookies until golden brown in colour. Then take them out on a wire rack and let them cool. Store in an airtight container to keep them fresh for longer.",https://static.toiimg.com/thumb/59286727.cms?width=1200&height=900,https://recipes.timesofindia.com/recipes/cardamom-cookies/rs59286727.cms,,4029.0,"wheat flour, sugar, egg, powdered green cardamom, butter"
Wine Plum Cake Recipe,Continental,desserts,"['750 ml red wine', '1 tablespoon baking powder', '4 egg', '1/2 kilograms chopped plums', '250 gm butter', '2 cups all purpose flour']","Take a large bowl and mix chopped plums with wine and butter in it.
Next, crack eggs in the same bowl and add all-purpose flour along with the baking powder. Whisk all the ingredients well to make the cake batter.
Now, take a baking tray and grease it with butter. Pour the cake batter in the tray and place this tray in the oven. Bake the cake for about 40 minutes at 180 degrees Celsius! Take out when done and let it cool at room temperature. Serve warm!",https://static.toiimg.com/thumb/61220939.cms?width=1200&height=900,https://recipes.timesofindia.com/recipes/wine-plum-cake/rs61220939.cms,5.0,8032.0,"red wine, baking powder, egg, plum, butter, flour"
Sweet Bread Toast Recipe,American,breakfast,"['4 bread slices', '1/3 cup sugar', '2 egg', '2 tablespoon butter', '1 cup milk', 'maple syrup as required']","Beat the eggs, milk and sugar in a large bowl till the sugar dissolves in the mixture.
Soak the bread slices one by one in the mixture and coat them well.
Place a frypan over medium flame and add butter in it. Once the butter melts, put a soaked bread slice and fry it for a minute.
Flip and fry the other side of the bread slice. Repeat the process for all the bread slices. You can garnish the Sweet Bread Toast with maple syrup. Serve hot.",https://static.toiimg.com/thumb/58606588.cms?width=1200&height=900,https://recipes.timesofindia.com/recipes/sweet-bread-toast/rs58606588.cms,5.0,836.0,"bread, sugar, egg, butter, milk, maple syrup"
Sweet Bread Toast Recipe,American,snacks,"['4 bread slices', '1/3 cup sugar', '2 egg', '2 tablespoon butter', '1 cup milk', 'maple syrup as required']","Beat the eggs, milk and sugar in a large bowl till the sugar dissolves in the mixture.
Soak the bread slices one by one in the mixture and coat them well.
Place a frypan over medium flame and add butter in it. Once the butter melts, put a soaked bread slice and fry it for a minute.
Flip and fry the other side of the bread slice. Repeat the process for all the bread slices. You can garnish the Sweet Bread Toast with maple syrup. Serve hot.",https://static.toiimg.com/thumb/58606588.cms?width=1200&height=900,https://recipes.timesofindia.com/recipes/sweet-bread-toast/rs58606588.cms,5.0,7518.0,"bread, sugar, egg, butter, milk, maple syrup"
Mini Pizza Recipe,Continental,snacks,"['2 egg', '4 tablespoon marinara sauce', '2 whole wheat bread', '4 slices pepperoni', '4 tablespoon cheese cubes', '2 teaspoon unsalted butter']","To begin with, in a bowl crack open the eggs and whisk them into a frothy mixture. Keep them aside until needed again. Then using a grater, shred the cheese cubes into fine pieces. Keep it aside until needed.
Next, put a non-stick pan on medium flame and grease it with unsalted butter. Add in the beaten eggs in the pan and cook it to prepare scrambled eggs. Once done, keep the eggs aside.
Now, slice the whole wheat bread ( English muffin bread) into half and lay it on a clean surface. Add, the marinara sauce on it followed by scramble eggs, cheese and pepperoni.
Transfer the pizza on a baking tray and bake it for 2 to 3 minutes or until the cheese melts. Serve fresh and hot!",https://static.toiimg.com/thumb/60220499.cms?width=1200&height=900,https://recipes.timesofindia.com/recipes/mini-pizza/rs60220499.cms,,4339.0,"egg, marinara sauce, whole wheat bread, pepper onion, cheese, butter"
Milk Bread Recipe,Continental,breakfast,"['500 gm all purpose flour', '160 ml milk', '4 gm sugar', '100 gm butter', '4 gm dry yeast', '10 gm salt', '2 egg']","Mix all ingredients together except butter and knead to form a smooth dough. Add butter part by part and continue kneading till uniform. Allow the dough to proof in a warm place for an hour and then knockback. Leave it in the fridge overnight.
Divide the dough as per requirement and shape it (this recipe is meant for 3 loaves of 300 gms each). Proof till double in volume, brush with egg wash and bake at 180C until golden brown.",https://static.toiimg.com/thumb/75496848.cms?width=1200&height=900,https://recipes.timesofindia.com/recipes/milk-bread/rs75496848.cms,,1505.0,"flour, milk, sugar, butter, dry yeast, egg"
Mashed Potato Omelette Recipe: How to Make Mashed Potato Omelette Recipe at Home | Homemade Mashed Potato Omelette Recipe - Times Food,Continental,breakfast,"['4 egg', '1 cup mozzarella', '2 teaspoon butter', 'salt as required', '4 potato', '4 tablespoon milk', 'black pepper as required']","To prepare this recipe, heat water in a saucepan and boil the potatoes. Once boiled, peel and mash the potatoes. On the other hand, take a bowl and whisk the white parts of the eggs and keep them aside.
Now take another bowl and blend the egg yolk with the mashed potatoes. Then add milk to this mixture and whisk properly. Meanwhile, grate mozzarella in a separate bowl and keep it aside.
Add egg whites along with salt and pepper according to your taste. Heat butter in a pan over medium flame and pour the batter in it. Cook until it turns golden brown and sprinkle mozzarella over it. Now flip to the other side and make sure that it cooks from both sides.
Once done, remove from the heat and serve with any sauce or dip of your choice.",https://static.toiimg.com/thumb/58299724.cms?width=1200&height=900,https://recipes.timesofindia.com/recipes/mashed-potato-omelette/rs58299724.cms,4.5,2772.0,"egg, mozzarella, butter, potato, milk, black pepper"
Mashed Potato Omelette Recipe: How to Make Mashed Potato Omelette Recipe at Home | Homemade Mashed Potato Omelette Recipe - Times Food,Continental,appetizers,"['4 egg', '1 cup mozzarella', '2 teaspoon butter', 'salt as required', '4 potato', '4 tablespoon milk', 'black pepper as required']","To prepare this recipe, heat water in a saucepan and boil the potatoes. Once boiled, peel and mash the potatoes. On the other hand, take a bowl and whisk the white parts of the eggs and keep them aside.
Now take another bowl and blend the egg yolk with the mashed potatoes. Then add milk to this mixture and whisk properly. Meanwhile, grate mozzarella in a separate bowl and keep it aside.
Add egg whites along with salt and pepper according to your taste. Heat butter in a pan over medium flame and pour the batter in it. Cook until it turns golden brown and sprinkle mozzarella over it. Now flip to the other side and make sure that it cooks from both sides.
Once done, remove from the heat and serve with any sauce or dip of your choice.",https://static.toiimg.com/thumb/58299724.cms?width=1200&height=900,https://recipes.timesofindia.com/recipes/mashed-potato-omelette/rs58299724.cms,4.5,7656.0,"egg, mozzarella, butter, potato, milk, black pepper"
